name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
alpha,2,0.574713,0.850573,3.14943,2,0.574713,0.850573,3.14943
awc,2,0.574713,0.850573,3.14943,2,0.57148,0.857039,3.14296
canmx,2,0.574713,0.850573,3.14943,2,0.574269,0.851461,3.14854
cn2,2,0.574713,0.850573,3.14943,2,0.574713,0.850573,3.14943
cn3_swf,2,0.574713,0.850573,3.14943,2,0.574713,0.850573,3.14943
epco,2,0.574713,0.850573,3.14943,2,0.568615,0.86277,3.13723
esco,2,0.574713,0.850573,3.14943,2,0.5739,0.852199,3.1478
lat_len,2,0.574713,0.850573,3.14943,2,0.574713,0.850573,3.14943
latq_co,2,0.574713,0.850573,3.14943,2,0.574713,0.850573,3.14943
perco,2,0.574713,0.850573,3.14943,2,0.574713,0.850574,3.14943
petco,2,0.574713,0.850573,3.14943,2,0.0182283,1.96354,2.03646
revap_co,2,0.574713,0.850573,3.14943,2,0.574713,0.850573,3.14943
surlag,2,0.574713,0.850573,3.14943,2,0.574713,0.850573,3.14943
