iteration,_is_super,_lambda,_scale_factor,alpha,awc,canmx,cn2,cn3_swf,epco,esco,lat_len,latq_co,perco,petco,revap_co,surlag
0,0,0.1,1,100,100,100,100,100,100,110,100,100,100,100,100,100
0,0,0.1,0.75,100,100,100,100,100,100,107.41,100,100,100,100,100,100
0,0,1,1,100,100,100,100,100,100,110,100,100,100,100,100,100
0,0,1,0.75,100,100,100,100,100,100,107.41,100,100,100,100,100,100
0,0,10,1,100,100.248,99.9912,100,100,100.074,110,100,100,100,100.002,100,100
0,0,10,0.75,100,100.186,99.9934,100,100,100.056,107.41,100,100,100,100.001,100,100
0,0,100,1,100,110,99.7813,100,100,108.134,102.438,100,100,100,100.045,100,100
0,0,100,0.75,100,107.41,99.836,100,100,106.041,101.823,100,100,100,100.034,100,100
0,0,1000,1,100,109.855,99.803,100,100,110,102.224,100,100,100,100.167,100,100
0,0,1000,0.75,100,107.304,99.8522,100,100,107.41,101.663,100,100,100,100.126,100,100
1,0,0.1,1,100,120.84,99.803,100,100,110,102.224,100,100,100,100.167,100,100
1,0,0.1,0.75,100,117.995,99.803,100,100,110,102.224,100,100,100,100.167,100,100
1,0,1,1,100,109.855,99.803,100,100,121,102.224,100,100,100,100.167,100,100
1,0,1,0.75,100,109.855,99.803,100,100,118.151,102.224,100,100,100,100.167,100,100
1,0,10,1,100,109.898,99.736,100,100,121,102.272,100,100,100,100.182,100,100
1,0,10,0.75,100,109.887,99.7528,100,100,118.151,102.26,100,100,100,100.178,100,100
1,0,100,1,100,110.266,90.73,100,100,118.359,102.797,100,100,100,102.303,100,100
1,0,100,0.75,100,110.163,92.9179,100,100,116.212,102.653,100,100,100,101.765,100,100
1,0,1000,1,100,109.985,90.73,100,100,112.107,102.409,100,100,100,107.212,100,100
1,0,1000,0.75,100,109.952,92.9179,100,100,111.577,102.363,100,100,100,105.406,100,100
2,0,0.1,1,100,109.985,90.73,100,100,123.318,102.409,100,100,100,107.212,100,100
2,0,0.1,0.75,100,109.985,90.73,100,100,120.415,102.409,100,100,100,107.212,100,100
2,0,1,1,100,99.9861,82.4818,100,100,101.916,93.0991,100,100,100,102.625,100,100
2,0,1,0.75,100,102.397,84.4708,100,100,104.373,95.3441,100,100,100,103.753,100,100
2,0,10,1,100,99.9861,82.4819,100,100,101.916,93.0991,100,100,100,104.979,100,100
2,0,10,0.75,100,102.397,84.4708,100,100,104.373,95.3441,100,100,100,105.533,100,100
2,0,100,1,100,99.9997,83.2396,100,100,101.916,93.105,100,100,100,107.928,100,100
2,0,100,0.75,100,102.408,85.0522,100,100,104.373,95.3486,100,100,100,107.749,100,100
2,0,1000,1,100,100.628,86.8718,100,100,101.916,93.4791,100,100,100,110.076,100,100
2,0,1000,0.75,100,102.89,87.8207,100,100,104.373,95.6358,100,100,100,109.353,100,100
3,0,0.1,1,100,100.628,86.8718,100,100,101.916,102.827,100,100,100,110.076,100,100
3,0,0.1,0.75,100,100.628,86.8718,100,100,101.916,100.406,100,100,100,110.076,100,100
3,0,1,1,100,110.691,86.8718,100,100,101.916,93.4791,100,100,100,110.076,100,100
3,0,1,0.75,100,108.085,86.8718,100,100,101.916,93.4791,100,100,100,110.076,100,100
3,0,10,1,100,110.691,86.8697,100,100,101.913,93.6287,100,100,100,110.076,100,100
3,0,10,0.75,100,108.085,86.8702,100,100,101.914,93.5912,100,100,100,110.076,100,100
3,0,100,1,100,101.063,79.8574,100,100,92.6508,99.3264,100,100,100,111.007,100,100
3,0,100,0.75,100,100.954,81.5561,100,100,94.8849,97.8312,100,100,100,110.774,100,100
3,0,1000,1,100,100.435,83.7586,100,100,92.6508,94.3686,100,100,100,112.4,100,100
3,0,1000,0.75,100,100.483,84.5263,100,100,94.8849,94.1454,100,100,100,111.815,100,100
